Data,Wartość
2006-06-22,4.22 
2006-06-15,4.19 
2006-06-01,4.17 
2006-05-25,4.16 
2006-05-18,4.18 
2006-05-05,4.2 
2006-04-28,4.2 
2006-04-21,4.21 
2006-04-14,4.11 
2006-04-07,4.03 
2006-03-30,3.9 
2006-03-24,3.82 
2006-03-17,3.73 
2006-03-10,3.69 
2006-03-03,3.66 
2006-02-24,3.66 
2006-02-17,3.68 
2006-02-03,3.7 
2006-01-27,3.71 
2006-01-20,3.73 
2006-01-13,3.72 
2006-01-06,3.72 
2005-12-30,3.73 
2005-12-22,3.76 
2005-12-16,3.8 
2005-12-09,3.85 
2005-12-02,3.92 
2005-11-25,3.97 
2005-11-17,4.04 
2005-11-11,4.11 
2005-10-28,4.19 
2005-10-21,4.24 
2005-10-14,4.28 
2005-10-07,4.3 
2005-09-30,4.32 
2005-09-22,4.31 
2005-09-15,4.33 
2005-09-08,4.41 
2005-09-01,4.5 
2005-08-26,4.31 
2005-08-18,4.29 
2005-08-11,4.27 
2005-08-05,4.23 
2005-07-29,4.21 
2005-07-22,4.19 
2005-07-14,4.19 
2005-07-08,4.16 
2005-07-01,4.11 
2005-06-24,4.08 
2005-06-16,4.05 
2005-06-09,3.97 
2005-06-02,3.96 
2005-05-26,3.92 
2005-05-18,3.94 
2005-05-12,3.95 
2005-05-05,3.96 
2005-04-28,3.97 
2005-04-21,3.97 
2005-04-14,3.96 
2005-04-07,3.96 
2005-03-24,3.83 
2005-03-17,3.77 
2005-03-10,3.71 
2005-03-03,3.71 
2005-02-24,3.7 
2005-02-17,3.68 
2005-02-10,3.68 
2005-02-03,3.65 
2005-01-27,3.64 
2005-01-20,3.6 
2005-01-13,3.57 
2005-01-06,3.55 
2004-12-30,3.55 
2004-12-22,3.58 
2004-12-15,3.62
