name,city,region,make,price,year,mileage,engine_capacity,fuel_type,price
Opel Meriva,Ostrowiec Świętokrzyski,Świętokrzyskie,opel,5999,2007,283155,1364,petrol,5999
Audi SQ5 3.0 TFSI Quattro Tiptronic,Wrocław,Dolnośląskie,audi,119000,2014,138100,2995,petrol,119000
Volkswagen Golf VII 1.4 TSI BMT Highline,Łódź,Łódzkie,volkswagen,49000,2014,172600,1395,petrol,49000
Skoda Superb 2.0 TDI 4x4 Ambition DSG,Miejska Górka,Wielkopolskie,skoda,52900,2014,225500,1968,diesel,52900
Volkswagen Tiguan,Kielce,Świętokrzyskie,volkswagen,67500,2017,199971,1968,diesel,67500
Peugeot 308 SW BlueHDi 150 Automatik Stop & Start Allure,Kwidzyn,Pomorskie,peugeot,43800,2015,166700,1997,diesel,43800
Hyundai I30 1.6 CRDi Classic,Brzegi,Mazowieckie,hyundai,38130,2016,232600,1582,diesel,38130
Volvo S60 D2 Edition,Ostrołęka,Mazowieckie,volvo,23900,2011,200000,1560,diesel,23900
Dacia Sandero Stepway 0.9 TCe Ambiance,Proszowice,Małopolskie,dacia,30500,2013,104000,898,petrol,30500
BMW 3GT,Gorzkowice,Łódzkie,bmw,76000,2015,197550,1995,diesel,76000
Volkswagen Multivan,Żary,Lubuskie,volkswagen,59000,2000,465000,2486,diesel,59000
